Taxonomic information of Operational Taxonomic Units (OTUs) from 16S rRNA gene V4 region Illumina sequencing,,,,,,,,
POTU_ID,OTU_ID_orig,Domain,Phylum,Class,Order,Family,Genus,Species
POTU182,fece94a7d554fbc322d40eb3602d303b,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU183,0927aec8c8fd93edab17f5f561ca38f8,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU184,5786b50b2124e78ccf14768586b7cc9c,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Magasanikbacteria,f__Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,
POTU185,5014f478a5b3ec8da3f200a0075f869a,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Magasanikbacteria,f__Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,
POTU186,6007fea46e68c49c8a81d763d9f11b78,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Magasanikbacteria,f__Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,s__uncultured_planctomycete
POTU187,378b2832b153475f9bd867ad2e238c01,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Magasanikbacteria,f__Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,s__uncultured_planctomycete
POTU188,cbecda3ff7be2aa489da857cdf55fa0c,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Kerfeldbacteria,f__Candidatus_Kerfeldbacteria,g__Candidatus_Kerfeldbacteria,s__uncultured_bacterium
POTU189,f2dcab91783d304dd2b1a0567638173f,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Uhrbacteria,f__Candidatus_Uhrbacteria,g__Candidatus_Uhrbacteria,
POTU190,8eadc6afbd25327354725ed13c12643d,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Uhrbacteria,f__Candidatus_Uhrbacteria,g__Candidatus_Uhrbacteria,
POTU191,8d573479dffc0df08eae851eb133daf8,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Uhrbacteria,f__Candidatus_Uhrbacteria,g__Candidatus_Uhrbacteria,
POTU192,57140e3008d5b00d571ba53ece2eb992,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Uhrbacteria,f__Candidatus_Uhrbacteria,g__Candidatus_Uhrbacteria,
POTU193,581d68ce93e802f364c4b75b36d57a81,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Uhrbacteria,f__Candidatus_Uhrbacteria,g__Candidatus_Uhrbacteria,s__uncultured_bacterium
POTU194,3a1085373e177732a4dd75ba04ccbbbc,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Uhrbacteria,f__Candidatus_Uhrbacteria,g__Candidatus_Uhrbacteria,
POTU195,0aecdf22cb6d912f1850adaa4765813b,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU196,e1fa4bea4b2d50e0712aaae981bf693c,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU197,42f03663a1d125d905f9d50c3343033a,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU198,0f9acd8b040f97d783de0c01caba0c47,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU199,36c97d1c729f7554fcf2f2d375ad5c8d,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU200,427cc48aac91bf91dc029ace492821a1,d__Bacteria,p__Patescibacteria,,,,,
